Package,License,License Link,Personal Use,Commercial Use,Big Company Use
accelerate,Apache 2.0,https://github.com/huggingface/accelerate,Free,Free,Free
transformers,Apache 2.0,https://github.com/huggingface/transformers,Free,Free,Free
torch,BSD 3-Clause,https://github.com/pytorch/pytorch,Free,Free,Free
torchaudio,BSD 2-Clause,https://github.com/pytorch/audio,Free,Free,Free
torchvision,BSD 3-Clause,https://github.com/pytorch/vision,Free,Free,Free
sentence-transformers,Apache 2.0,https://github.com/UKPLab/sentence-transformers,Free,Free,Free
numpy,BSD 3-Clause,https://github.com/numpy/numpy,Free,Free,Free
pandas,BSD 3-Clause,https://github.com/pandas-dev/pandas,Free,Free,Free
scipy,BSD 3-Clause,https://github.com/scipy/scipy,Free,Free,Free
datasets,Apache 2.0,https://github.com/huggingface/datasets,Free,Free,Free
scikit-learn,BSD 3-Clause,https://github.com/scikit-learn/scikit-learn,Free,Free,Free
pillow,MIT-CMU,https://github.com/python-pillow/Pillow,Free,Free,Free
lxml,BSD 3-Clause,https://github.com/lxml/lxml,Free,Free,Free
chromadb,Apache 2.0,https://github.com/chroma-core/chroma,Free,Free,Free
langchain,MIT,https://github.com/langchain-ai/langchain,Free,Free,Free
openai,MIT,https://github.com/openai/openai-python,Free,Paid (API),Paid (API)
llama_cpp_python,MIT,https://github.com/abetlen/llama-cpp-python,Free,Free,Free
instructor,MIT,https://github.com/jxnl/instructor,Free,Free,Free
ragas,Apache 2.0,https://github.com/explodinggradients/ragas,Free,Free,Free
requests,Apache 2.0,https://github.com/psf/requests,Free,Free,Free
httpx,BSD 3-Clause,https://github.com/encode/httpx,Free,Free,Free
aiohttp,Apache 2.0,https://github.com/aio-libs/aiohttp,Free,Free,Free
grpcio,Apache 2.0,https://github.com/grpc/grpc,Free,Free,Free
streamlit,Apache 2.0,https://github.com/streamlit/streamlit,Free,Free,Free
uvicorn,BSD 3-Clause,https://github.com/encode/uvicorn,Free,Free,Free
click,BSD 3-Clause,https://github.com/pallets/click,Free,Free,Free
typer,MIT,https://github.com/fastapi/typer,Free,Free,Free
rich,MIT,https://github.com/Textualize/rich,Free,Free,Free
pydantic,MIT,https://github.com/pydantic/pydantic,Free,Free,Free
PyYAML,MIT,https://github.com/yaml/pyyaml,Free,Free,Free
SQLAlchemy,MIT,https://github.com/sqlalchemy/sqlalchemy,Free,Free,Free
pytest,MIT,https://github.com/pytest-dev/pytest,Free,Free,Free
onnx,Apache 2.0,https://github.com/onnx/onnx,Free,Free,Free
onnxruntime,MIT,https://github.com/microsoft/onnxruntime,Free,Free,Free
onnxruntime-gpu,MIT,https://github.com/microsoft/onnxruntime,Free,Free,Free
protobuf,BSD 3-Clause,https://github.com/protocolbuffers/protobuf,Free,Free,Free
jsonschema,MIT,https://github.com/python-jsonschema/jsonschema,Free,Free,Free
google-auth,Apache 2.0,https://github.com/googleapis/google-auth-library-python,Free,Free,Free
